aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14602858,lsidyv2eb18738,"inchbald, mrs., 1753-1821","inchbald, elizabeth",https://www.wikidata.org/wiki/Q469974,Q469974,next door neighbours; a comedy; in three acts [and in prose]. from the french dramas l'indigent [by l. s. mercier] and le dissipateur [by p. néricault destouches]. [electronic resource],next door neighbours; a comedy; in three acts,[and in prose]. from the french dramas l'indigent [by l. s. mercier] and le dissipateur [by p. néricault destouches].,,"destouches, néricault, 1680-1754","destouches, néricault",,,"london, 1791.",1791,london,,comedy
14605599,lsidyv3031fb89,,,,,"the traveller; or, the marriage in sicily [a comedy], in three acts [and in prose. by guglielmo]. [electronic resource]","the traveller; or, the marriage in sicily","[a comedy], in three acts [and in prose. by guglielmo].",,,,,,"london, 1809.",1809,london,,comedy
14608193,lsidyv3097b1af,"claris de florian, jean pierre.","claris de florian, jean pierre",https://www.wikidata.org/wiki/Q551740,Q551740,look before you leap. a comedy in one act ... translated from ... la bonne mère ... by horatio robson. [electronic resource],look before you leap. a comedy in one act,translated from...la bonne mère ... by horatio robson.,,"claris de florian, jean pierre. -- robson, horatio.","claris de florian, jean pierre. robson, horatio",,,"london : harrison & co., 1788.",1788,london,harrison & co.,comedy
14608240,lsidyv32b79f0b,,,,,"mercurius britanicus; or, the english intelligencer. a tragic-comedy, at paris. acted with great applause. [in four acts and in prose. by r. braithwait.] [electronic resource]","mercurius britanicus; or, the english intelligencer. a tragic-comedy",at paris. acted with great applause. [in four acts and in prose. by r. braithwait.],,"brathwaite, richard, 1588?-1673.","brathwaite, richard",,,"[london,] , 1641.",1641,london,,comedy
14608260,lsidyv32b62fd6,"sedaine, 1719-1797",sedaine,https://www.wikidata.org/wiki/Q367243,Q367243,"a key to the lock, a comedy in two acts. [translated from “la gageure imprévue.”] [electronic resource]","a key to the lock, a comedy in two acts",[translated from “la gageure imprévue.”],,,,,,"london, 1788.",1788,london,,comedy
14608350,lsidyv3350ad04,,,,,"[a tragi-comedy [in one act and in prose], called new-market fayre, or a parliament out-cry of state-commodities, set to sale. (the second part of the tragi-comedy, called new-market-fayre [in five acts and in prose]. or mrs parliament's new figaryes. written by the man in the moon.)] [electronic resource]","a tragi-comedy called new-market fayre, or a parliament out-cry of state-commodities, set to sale.","[in one act and in prose (the second part of the tragi-comedy, called new-market-fayre [in five acts and in prose]. or mrs parliament's new figaryes. written by the man in the moon.)",the second edition; corrected  by the author pt 1,,,,,"[london?] : printed at you may go look, 1649.",1649,london,,comedy
14608385,lsidyv32ba359b,,,,,"[a day in turkey.] airs, duets, choruses, &c., in the new comedy, called, a day in turkey; or, the russian slaves. [by h. cowley.] [electronic resource]","a day in turkey. airs, duets, choruses, &c., in the new comedy, called, a day in turkey; or, the russian slaves",[by h. cowley],,"cowley, hannah.","cowley, hannah",,,"london, 1791.",1791,london,,comedy
14608440,lsidyv3382ba78,,,,,"caledonia; or, the pedlar turn'd merchant. a tragi-comedy, as it was acted by his majesty's subjects of scotland, in the king of spain's province of darien. [in verse.] [electronic resource]","caledonia; or, the pedlar turn'd merchant. a tragi-comedy","as it was acted by his majesty's subjects of scotland, in the king of spain's province of darien. [in verse.]",,,,,,"london, 1700.",1700,london,,comedy
14608707,lsidyv338a83c0,,,,,candour: an enquiry into the real merits of the salisbury comedians. (a poem.). [electronic resource],candour: an enquiry into the real merits of the salisbury comedians,(a poem.),,,,,,"london : r. horsfield, 1768.",1768,london,r. horsfield,comedy
14616769,lsidyv34eca295,"harris, richard, 1833-1906.","harris, richard",,,the last of the ramshackles. a comedy in three acts. [with ms. corrections by the author.] [electronic resource],the last of the ramshackles. a comedy in three acts,[with ms. corrections by the author.],,,,,,"london : hutchings & crowsley, 1882.",1882,london,hutchings & crowsley,comedy
