aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14602867,lsidyv2eb1acdd,,,,,the queen's visit to birmingham! a playful reminiscence ... in random rhyme ... by ... quiz. [electronic resource],the queen's visit to birmingham! a playful reminiscence,in random rhyme...by ... quiz,,"victoria, queen of great britain, 1819-1901.",victoria,,,"birmingham : w. cornish, [1858.].",1858,birmingham,w. cornish,play
14602972,lsidyv2eb2b217,"moculloch, philim.","moculloch, philim",,,"the murphiad. a mock heroic poem. [an attack on arthur murphy, the dramatist.] [electronic resource]",the murphiad. a mock heroic poem,"[an attack on arthur murphy, the dramatist.]",,"murphy, arthur, 1727-1805.","murphy, arthur",,,"london : printed for j. williams, 1761.",1761,london,printed for j. williams,play
14603044,lsidyv2eb33e33,"woodberry, george edward.",George Edward Woodberry,https://www.wikidata.org/wiki/Q5538895,Q5538895,"the players' elegy on the death of edwin booth, etc. [electronic resource]","the players' elegy on the death of edwin booth, etc.",,,,,,,"new-york : privately printed, 1893.",1893,new york,privately printed,play
14603329,lsidyv2eb77ab0,,,,,"a quarter of an hour before dinner; or, quality binding. a dramatic entertainment of one act [and in prose. by j. rose]. [electronic resource]","a quarter of an hour before dinner; or, quality binding. a dramatic entertainment of one act",[and in prose. by j. rose],,"rose, john, rector of st. martin outwich, london.","rose, john",,,"london, 1788.",1788,london,,play
14603337,lsidyv2eb7d779,,,,,"the spectre poverty: or the realities of life, displayed under an allegory. [in verse. by mrs. furlong.] [electronic resource]","the spectre poverty: or the realities of life, displayed under an allegory",[in verse. by mrs. furlong.],,,,,,"edinburgh, 1834.",1834,edinburgh,,play
14605554,lsidyv2f0b81d1,,,,,"the villa: or, glasnevin, a poem. written in imitation of cowley's pindariques [contained in the “poems” of 1656]. with a copy of verses to a young lady on seeing her at the play. inscribed to secretary belchier. [electronic resource]","the villa: or, glasnevin, a poem",written in imitation of cowley's pindariques  [contained in the “poems” of 1656]. with a copy of verses to a young lady on seeing her at the play. inscribed to secretary belchier,,"cowley, abraham.","cowley, abraham",,,"dublin : richard watts, 1754.",1754,dublin,richard watts,play
14608186,lsidyv309d2e22,"byron, george gordon byron, baron, 1788-1824",Lord Byron,https://www.wikidata.org/wiki/Q5679,Q5679,"manfred, a dramatic poem. [electronic resource]","manfred, a dramatic poem",,,,,,,"london : john murray, 1817.",1817,london,john murray,play
14608199,lsidyv30989f13,"cross, j. c. (james cartwright), d. 1809.","cross, james cartwright",,,"the apparition! a musical dramatic romance, in two acts, etc. [electronic resource]","the apparition! a musical dramatic romance, in two acts, etc.",,,,,,,"london : j. barker, 1794.",1794,london,j. barker,play
14608290,lsidyv3830b7a0 -- lsidyv30996619,"birch, samuel, 1757-1841.","birch, samuel",,,"the adopted child, a musical drama in two acts, etc. [electronic resource]","the adopted child, a musical drama in two acts, etc.",,,,,,,"london : c. dilly, 1795.",1795,london,c. dilly,play
14608294,lsidyv3350a335,,,,,"the venetian outlaw, a drama in three acts ... translated [from the french translation of j. h. d. zschokke's “abällino, oder der grosse bandit”] and adapted to the english stage by r. w. elliston. [electronic resource]","the venetian outlaw, a drama in three acts","translated [from the french translation of j. h. d. zschokke's “abällino, oder der grosse bandit”] and adapted to the english stage by r. w. elliston...",,"elliston, robert william. -- zschokke, heinrich, 1771-1848.","elliston, robert william |zschokke, heinrich",,,"london : c. & r. baldwin, 1805.",1805,london,c. & r. baldwin,play
14608329,lsidyv32cca4ba,"hurdis, james, 1763-1801",James Hurdis,https://www.wikidata.org/wiki/Q6136439,Q6136439,"cursory remarks upon the arrangement of the plays of shakespear, occasioned by reading mr. malone's essay on the chronological order of those celebrated pieces. [electronic resource]",cursory remarks upon the arrangement of the plays of shakespear,occasioned by reading mr. malone's essay on the chronological order of those celebrated pieces,,"malone, edmond. -- shakespeare, william, 1564-1616","malone, edmond |shakespeare, william",,,"london, 1792.",1792,london,,play
14608374,lsidyv32b9ed11,,,,,"selim and azor, a persian tale [a drama] in three parts [in verse. by sir g. collier], etc. [electronic resource]","selim and azor, a persian tale  in three parts , etc.",[a drama][in verse. by sir g. collier],,"collier, george, sir.","collier, george",,,"london, 1784.",1784,london,,play
14608410,lsidyv3382abd3,,,,,"abdallah; or, the arabian martyr: a christian drama, in three acts. [in verse.] [by thomas foster barham, the elder.] [electronic resource]","abdallah; or, the arabian martyr: a christian drama, in three acts","[in verse.] [by thomas foster barham, the elder.]",,"barham, thomas foster, 1766-1844.","barham, thomas foster",,,"london : j. hatchard & son, 1820.",1820,london,j. hatchard & son,play
14608470,lsidyv3358727f,"lee, henry, stage manager.","lee, henry",,,"the manager, a melo-dramatic tale [in verse]. [electronic resource]","the manager, a melo-dramatic tale",[in verse],,,,,,"london, 1822.",1822,london,,play
14608512,lsidyv3382bdf6,"thain, leslie.","thain, leslie",,,"timotheus, the violin player, (an irregular poem) ... second edition. [electronic resource]","timotheus, the violin player, (an irregular poem)",second edition...,,,,,,"abergavenny : thomas and edmunds, [1889.].",1889,abergavenny,thomas and edmunds,play
14608532,lsidyv33862bf4,h. c.,h. c,,,"peter little and the lucky sixpence; the frog's lecture; and other stories. a verse book for my children and their playmates. [the dedicatory poem signed: h. c., i.e. henry campkin.] [electronic resource]",peter little and the lucky sixpence; the frog's lecture; and other stories. a verse book for my children and their playmates,"[the dedicatory poem signed: h. c., i.e. henry campkin.]",,"campkin, henry, 1815?-1890.","campkin, henry",,,"london : james ridgway, 1851.",1851,london,james ridgway,play
