aleph system no.,dom id,author (o),author (n),author_wikidata_url,author_wikidata_id,title (o),title (n),metadata,edition,other authors (o),other authors (n),series,subject,imprint (o),p year,p location,p name,type
14602868,lsidyv2eb15659,,,,,manipure tragedy. composed in rhyming form. [electronic resource],manipure tragedy,composed in rhyming form,,,,,,"chittagong : jagot chandra das, 1893.",1893,chittagong,jagot chandra das,tragedy
14603036,lsidyv2eb362b1,"ramsdale, a. e.","ramsdale, a. e.",,,"“then,” or, the tragedy of the alsager bazaar. [in verse.] [electronic resource]","“then,” or, the tragedy of the alsager bazaar",[in verse.],,,,,,"longton : hughes & harber, [1889.].",1889,longton,hughes & harber,tragedy
14605683,lsidyv32b541d0,,,,,"the tailors; a tragedy for warm weather, in three acts. [a burlesque. adapted by george colman, the elder.] [electronic resource]","the tailors; a tragedy for warm weather, in three acts","[a burlesque. adapted by george colman, the elder.]",,"colman, george, the elder.","colman, george, the elder",,,"london : t. cadell, 1778.",1778,london,t. cadell,tragedy
14608339,lsidyv3351b2b4,,,,,"fragment of a tragedy lately acted at the british museum. [a burlesque, by s. weston on the loss of certain prints from mr. cracherode's collection.] [electronic resource]",fragment of a tragedy lately acted at the british museum,"[a burlesque, by s. weston on the loss of certain prints from mr. cracherode's collection.]",,"weston, stephen, f.r.s.","weston, stephen",,,"[london, 1806.]",1806,london,[ .],tragedy
14608380,lsidyv31afc4db,"sotheby, william.","sotheby, william",https://www.wikidata.org/wiki/Q8018620,Q8018620,"julian and agnes; or, the monks of the great st. bernard. a tragedy, in five acts [and in verse]. [electronic resource]","julian and agnes; or, the monks of the great st. bernard. a tragedy, in five acts",[and in verse],,,,,,"london, 1801.",1801,london,,tragedy
14608406,lsidyv32d477d2,"bateman, james, of nottingham.","bateman, james",,,"bateman's tragedy: or, the perjur'd bride justly rewarded. being the history of the unfortunate love of german's wife and young bateman. [a chap-book, in prose, with the original ballad, entitled “a godly warning to all maidens, etc.”] [electronic resource]","bateman's tragedy: or, the perjur'd bride justly rewarded. being the history of the unfortunate love of german's wife and young bateman","[a chap-book, in prose, with the original ballad, entitled “a godly warning to all maidens, etc.”]",,,,,,"london : s. bates, [1720?].",1720,london,s. bates,tragedy
14616610,lsidyv349ce3bb,"catilina, lucius sergius.","catilina, lucius sergius",https://www.wikidata.org/wiki/Q75826,Q75826,catiline. an historical tragedy in three acts. [in verse.] by the author of the indian merchant. [electronic resource],catiline. an historical tragedy in three acts,[in verse.] by the author of the indian merchant,,,,,,"london : moore, 1833.",1833,london,moore,tragedy
14616652,lsidyv349cea47,"davies, blanche.","davies, blanche",,,"octavia; or the bride of st. agnes. a tragedy, in five acts. [in verse.] [electronic resource]","octavia; or the bride of st. agnes. a tragedy, in five acts",[in verse.],,,,,,"doncaster : brooke & co.; c. white, 1832.",1832,doncaster,brooke & co.; c. white,tragedy
14616826,lsidyv349d0467,,,,,"james the third, king of scotland. a tragedy, in five acts [and in verse]. by the author of “catherine de medicis.”. [electronic resource]","james the third, king of scotland. a tragedy, in five acts",[and in verse]. by the author of “catherine de medicis.”,,,,,,"london, 1820.",1820,london,,tragedy
14616866,lsidyv34943541,"lewes, george henry, 1817-1878.","lewes, george henry",https://www.wikidata.org/wiki/Q1275943,Q1275943,"the noble heart: a tragedy, in three acts. [electronic resource]","the noble heart: a tragedy, in three acts",,,,,,,"london : chapman & hall, 1850.",1850,london,chapman & hall,tragedy
