Id,NodeType
country,HUB
you,NOUN
marriage,HUB
money,NOUN
rake,NOUN
priveledge,VERB
turkey,NOUN
wife,HUB
spark,VERB
chuse,VERB
excuse,VERB
arrogance,NOUN
cuckold,HUB
day,HUB
comedy,NOUN
reform,NOUN
new,ADJ
first,ADJ
credulous,ADJ
married,ADJ
have,VERB
daughter,HUB
honourable,ADJ
wary,ADJ
fashionable,ADJ
sight,NOUN
royal,ADJ
author,NOUN
wit,HUB
deserted,ADJ
lady,HUB
wake,VERB
town,HUB
fond,ADJ
choleric,ADJ
laughable,ADJ
scandal,NOUN
rule,VERB
virgin,ADJ
own,ADJ
generous,ADJ
jealous,ADJ
school,HUB
find,VERB
TRUE,ADJ
dumb,ADJ
virtuous,ADJ
widow,HUB
right,NOUN
good,ADJ
guardian,NOUN
make,VERB
man,HUB
careless,ADJ
wood,NOUN
suspicious,ADJ
art,NOUN
child,NOUN
greybeard,NOUN
humorous,ADJ
reclaim'd,VERB
act,NOUN
mode,NOUN
friend,HUB
rival,ADJ
husband,HUB
green,ADJ
sullen,ADJ
love,HUB
lover,NOUN
pleasure,NOUN
triumphant,ADJ
constable,NOUN
modish,ADJ
treacherous,ADJ
ridiculous,ADJ
